b_3	a_3	x_3	y_3		Forward info on b and a per 3 sink:			period 3 sink + tangent together:		-0.27695,1.2059761555840738
-0.2999 ,	1.173198507953394 ,	-0.02657353254957902 ,	-0.7497528011518759 ,		b	a	x	y		
-0.3 ,	1.1731985079533807 ,	-0.026573532549541694 ,	-0.7497528011518595 ,		-0.3	1.173198508	-0.02657353255	-0.7497528012		
-0.30005 ,	1.172990830148321 ,	-0.026601966466528636 ,	-0.7497140505640032 ,		-0.2999	1.173198508	-0.02657353255	-0.7497528012		
-0.3001 ,	1.1729216418838975 ,	-0.026611452675849412 ,	-0.7497010926507511 ,		-0.29985	1.173267749	-0.02656405962	-0.7497657168		
-0.30015 ,	1.1728524473103707 ,	-0.0266209337998622 ,	-0.7496881514099506 ,		-0.2998	1.173336999	-0.02655458913	-0.7497786277		
-0.30019999999999997 ,	1.1727832636674906 ,	-0.02663042132374817 ,	-0.7496752071537678 ,		-0.29975	1.173406258	-0.02654512107	-0.7497915339		
-0.30024999999999996 ,	1.1727140895381991 ,	-0.026639911323163533 ,	-0.7496622581500549 ,		-0.2997	1.173475527	-0.02653565546	-0.7498044352		
-0.30029999999999996 ,	1.1726449249097965 ,	-0.02664940376275524 ,	-0.7496493043828738 ,		-0.29965	1.173544806	-0.02652619227	-0.7498173318		
-0.30034999999999995 ,	1.172575769782438 ,	-0.02665889864290464 ,	-0.7496363458520632 ,		-0.2996	1.173614094	-0.02651673153	-0.7498302237		
-0.30039999999999994 ,	1.1725066241562827 ,	-0.0266683959639922 ,	-0.7496233825574692 ,		-0.29955	1.173683392	-0.02650727321	-0.7498431108		
-0.30044999999999994 ,	1.1724374880314161 ,	-0.02667789572641062 ,	-0.7496104144989613 ,		-0.2995	1.173752699	-0.02649781734	-0.7498559931		
-0.30049999999999993 ,	1.1723683614079619 ,	-0.026687397930546364 ,	-0.7495974416763975 ,		-0.29945	1.173822016	-0.02648836389	-0.7498688707		
-0.30054999999999993 ,	1.172299244286167 ,	-0.02669690257676678 ,	-0.749584464089585 ,		-0.2994	1.173891342	-0.02647891288	-0.7498817435		
-0.3005999999999999 ,	1.1722301366661458 ,	-0.026706409665458383 ,	-0.7495714817383855 ,		-0.29935	1.173960677	-0.02646946445	-0.7498946116		
-0.3006499999999999 ,	1.1721610385480041 ,	-0.02671591919701145 ,	-0.7495584946226621 ,		-0.2993	1.174030022	-0.02646001817	-0.7499074748		
-0.3006999999999999 ,	1.1720919499318798 ,	-0.026725431171810046 ,	-0.7495455027422704 ,		-0.29925	1.174099377	-0.02645057446	-0.7499203334		
-0.3007499999999999 ,	1.1720228708179727 ,	-0.026734945590227006 ,	-0.7495325060970336 ,		-0.2992	1.174168741	-0.02644113318	-0.7499331871		
-0.3007999999999999 ,	1.1719538012063688 ,	-0.026744462452655375 ,	-0.7495195046868282 ,		-0.29915	1.174238115	-0.02643169434	-0.7499460361		
-0.3008499999999999 ,	1.1718847410972848 ,	-0.026753981759466392 ,	-0.7495064985114751 ,		-0.2991	1.174307498	-0.02642225793	-0.7499588804		
-0.3008999999999999 ,	1.1718156904907968 ,	-0.026763503511053652 ,	-0.7494934875708509 ,		-0.29905	1.174376891	-0.02641282394	-0.7499717199		
-0.3009499999999999 ,	1.1717466493871067 ,	-0.026773027707790477 ,	-0.7494804718647825 ,		-0.299	1.174446293	-0.02640339239	-0.7499845546		
-0.3009999999999999 ,	1.1716776177863364 ,	-0.026782554350062063 ,	-0.7494674513931328 ,		-0.29895	1.174515704	-0.02639396327	-0.7499973846		
-0.3010499999999999 ,	1.1716085956886289 ,	-0.026792083438252776 ,	-0.7494544261557506 ,		-0.2989	1.174585125	-0.02638453658	-0.7500102098		
-0.30109999999999987 ,	1.1715395830941302 ,	-0.026801614972744688 ,	-0.7494413961524861 ,		-0.29885	1.174654556	-0.02637511233	-0.7500230302		
-0.30114999999999986 ,	1.1714705800029714 ,	-0.02681114895392111 ,	-0.7494283613831995 ,		-0.2988	1.174723996	-0.02636569049	-0.7500358459		
-0.30119999999999986 ,	1.1714015864153269 ,	-0.026820685382159516 ,	-0.7494153218477263 ,		-0.29875	1.174793446	-0.02635627109	-0.7500486568		
-0.30124999999999985 ,	1.1713326023313337 ,	-0.02683022425784499 ,	-0.7494022775459243 ,		-0.2987	1.174862905	-0.02634685412	-0.750061463		
-0.30129999999999985 ,	1.1712636277511093 ,	-0.026839765581363226 ,	-0.7493892284776562 ,		-0.29865	1.174932373	-0.02633743958	-0.7500742644		
-0.30134999999999984 ,	1.1711946626748464 ,	-0.02684930935308859 ,	-0.7493761746427533 ,		-0.2986	1.175001851	-0.02632802746	-0.7500870611		
-0.30139999999999983 ,	1.1711257071026715 ,	-0.026858855573406386 ,	-0.7493631160410783 ,		-0.29855	1.175071339	-0.02631861777	-0.750099853		
-0.30144999999999983 ,	1.1710567610347142 ,	-0.0268684042427003 ,	-0.7493500526724863 ,		-0.2985	1.175140836	-0.02630921051	-0.7501126401		
-0.3014999999999998 ,	1.170987824471124 ,	-0.02687795536135237 ,	-0.7493369845368313 ,		-0.29845	1.175210343	-0.02629980568	-0.7501254225		
-0.3015499999999998 ,	1.1709188974120974 ,	-0.02688750892973585 ,	-0.7493239116339442 ,		-0.2984	1.175279859	-0.02629040327	-0.7501382001		
-0.3015999999999998 ,	1.1708499798576864 ,	-0.026897064948246816 ,	-0.7493108339637152 ,		-0.29835	1.175349384	-0.02628100328	-0.750150973		
-0.3016499999999998 ,	1.1707810718081126 ,	-0.026906623417256453 ,	-0.7492977515259686 ,		-0.2983	1.175418919	-0.02627160573	-0.7501637411		
-0.3016999999999998 ,	1.170712173263471 ,	-0.02691618433715252 ,	-0.749284664320577 ,		-0.29825	1.175488464	-0.02626221059	-0.7501765044		
-0.3017499999999998 ,	1.170643284223963 ,	-0.02692574770830859 ,	-0.749271572347372 ,		-0.2982	1.175558018	-0.02625281789	-0.750189263		
-0.3017999999999998 ,	1.1705744046896955 ,	-0.026935313531112542 ,	-0.7492584756062209 ,		-0.29815	1.175627581	-0.02624342761	-0.750202017		
-0.3018499999999998 ,	1.1705055346608282 ,	-0.02694488180594303 ,	-0.7492453740969782 ,		-0.2981	1.175697154	-0.02623403975	-0.750214766		
-0.3018999999999998 ,	1.1704366741374745 ,	-0.026954452533186023 ,	-0.7492322678195024 ,		-0.29805	1.175766737	-0.02622465431	-0.7502275103		
